Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19720.801644,236649.62,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,3046.8916440000003,36562.70,USD,"Operating system (Linux), Storage amount (3 TB), DT Inbound: All other regions (10 TB per month), DT Outbound: Internet (10 TB per month), DT Intra-Region: (10 TB per month), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 1, Peak: 2, Duration of peak: 21 Hr 30 Min)), Advance EC2 instance (c5.4xlarge), Pricing strategy (On-Demand), Snapshot Frequency (Hourly), Amount changed per snapshot (3 GB)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5870.7,70448.40,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (10 TB per month), Nodes (2), Instance Type (db.m4.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Total Size of Backup Processed for Export (GB) (900 per month), Additional backup storage (900 GB)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,5152.02,61824.24,USD,"Data transfer out to internet (50 TB per month), Data transfer out to origin (30 TB per month), Number of requests (HTTPS) (100000000 per month), Data transfer out to internet (500 GB per month), Data transfer out to origin (500 GB per month), Number of requests (HTTPS) (2500000 per month), Data transfer out to internet (500 GB per month), Data transfer out to origin (500 GB per month), Number of requests (HTTPS) (2499999 per month), Data transfer out to internet (499 GB per month), Data transfer out to internet (500 GB per month), Data transfer out to origin (500 GB per month), Number of requests (HTTPS) (24999 per month)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,2610,31320.00,USD,Hosted Zones (9000)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,967.25,11607.00,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,S3 Standard,0,1605.84,19270.08,USD,S3 Standard storage (50 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,460.8,5529.60,USD,"DT Inbound: All other regions (5 TB per month), DT Outbound: Internet (5 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,7.3,87.60,USD,"Number of EC2 instances (2), Number of EIPs per instance (2)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
